"Name","State","Runtime","Created","representation","model","val/fscore","fit_time","model.max_depth","model.colsample_bytree","model.num_leaves","model.n_estimators","model.learning_rate"
"ptbxl__agg_beat_features__LGBMClassifier","finished","20","2023-01-20T21:35:38.000Z","agg_beat_features","LGBM","0.7735572457313538","12.635632753372192","4","0.5","127","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","22","2023-01-20T21:35:13.000Z","agg_beat_features","LGBM","0.7735572457313538","12.882070541381836","4","0.5","63","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","22","2023-01-20T21:34:49.000Z","agg_beat_features","LGBM","0.7735572457313538","12.633307933807371","4","0.5","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","18","2023-01-20T21:34:28.000Z","agg_beat_features","LGBM","0.7652332782745361","10.153603315353394","4","0.5","15","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","38","2023-01-20T21:33:36.000Z","agg_beat_features","LGBM","0.7697099447250366","27.98061728477478","-1","0.5","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","37","2023-01-20T21:32:57.000Z","agg_beat_features","LGBM","0.7697099447250366","26.954919576644897","64","0.5","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","34","2023-01-20T21:32:20.000Z","agg_beat_features","LGBM","0.7697099447250366","26.39113140106201","32","0.5","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","34","2023-01-20T21:31:43.000Z","agg_beat_features","LGBM","0.7638357281684875","26.63436007499695","16","0.5","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","19","2023-01-20T21:31:21.000Z","agg_beat_features","LGBM","0.7735572457313538","10.429956197738647","4","0.5","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","32","2023-01-20T21:30:06.000Z","agg_beat_features","LGBM","0.7628135085105896","23.75812840461731","-1","0.3","127","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","34","2023-01-20T21:29:29.000Z","agg_beat_features","LGBM","0.7659444808959961","22.60844779014587","-1","0.3","63","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","25","2023-01-20T21:29:02.000Z","agg_beat_features","LGBM","0.7718023061752319","15.796947479248049","-1","0.3","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","19","2023-01-20T21:28:40.000Z","agg_beat_features","LGBM","0.7625736594200134","9.589024305343628","-1","0.3","15","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","26","2023-01-20T21:20:53.000Z","agg_beat_features","LGBM","0.7718023061752319","17.226940631866455","-1","0.3","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","23","2023-01-20T21:20:27.000Z","agg_beat_features","LGBM","0.7718023061752319","15.582884073257446","64","0.3","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","23","2023-01-20T21:20:02.000Z","agg_beat_features","LGBM","0.7718023061752319","15.396560430526732","32","0.3","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","23","2023-01-20T21:19:36.000Z","agg_beat_features","LGBM","0.7622539401054382","15.259769201278688","16","0.3","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","16","2023-01-20T21:19:16.000Z","agg_beat_features","LGBM","0.7641288042068481","6.4183759689331055","4","0.3","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","57","2023-01-20T21:15:45.000Z","agg_beat_features","LGBM","0.7648059129714966","48.40757417678833","-1","1","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","74","2023-01-20T21:14:29.000Z","agg_beat_features","LGBM","0.765356183052063","44.44961404800415","-1","0.9","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","45","2023-01-20T21:13:42.000Z","agg_beat_features","LGBM","0.7571089267730713","37.510369300842285","-1","0.7","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","37","2023-01-20T21:13:02.000Z","agg_beat_features","LGBM","0.7697099447250366","28.95800256729126","-1","0.5","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","27","2023-01-20T21:12:32.000Z","agg_beat_features","LGBM","0.7718023061752319","18.606502771377563","-1","0.3","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","22","2023-01-20T21:12:07.000Z","agg_beat_features","LGBM","0.7603039145469666","8.09883189201355","-1","0.1","31","600","0.1"
