"Name","State","Runtime","Created","representation","model","val/fscore","fit_time","model.net.dropout","model.net.hidden_dims","model.weight_decay","model.learning_rate"
"ptbxl__whole_signal_features__MLPClassifier","finished","129","2023-01-21T16:24:52.000Z","whole_signal_features","MLP","0.7247915863990784","121.42490100860596","0.2","[512,256]","0.001","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","135","2023-01-21T16:22:33.000Z","whole_signal_features","MLP","0.7175614833831787","128.1588909626007","0.2","[256,512]","0.001","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","96","2023-01-21T16:20:54.000Z","whole_signal_features","MLP","0.7076132297515869","85.8101544380188","0.2","[512]","0.001","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","41","2023-01-21T16:19:44.000Z","whole_signal_features","MLP","0.39952799677848816","33.76959800720215","0.2","[256,512,256]","0.001","0.1"
"ptbxl__whole_signal_features__MLPClassifier","finished","42","2023-01-21T16:18:59.000Z","whole_signal_features","MLP","0.39952799677848816","33.82134938240051","0.2","[256,512,256]","0.001","0.05"
"ptbxl__whole_signal_features__MLPClassifier","finished","115","2023-01-21T16:17:01.000Z","whole_signal_features","MLP","0.5758093595504761","107.88272714614868","0.2","[256,512,256]","0.001","0.01"
"ptbxl__whole_signal_features__MLPClassifier","finished","146","2023-01-21T16:14:32.000Z","whole_signal_features","MLP","0.7292020916938782","136.63241124153137","0.2","[256,512,256]","0.001","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","47","2023-01-21T15:01:06.000Z","whole_signal_features","MLP","0.39952799677848816","38.87704443931579","0.2","[256,512]","0.001","0.1"
"ptbxl__whole_signal_features__MLPClassifier","finished","49","2023-01-21T15:00:14.000Z","whole_signal_features","MLP","0.39952799677848816","34.49069333076477","0.2","[256,512]","0.001","0.05"
"ptbxl__whole_signal_features__MLPClassifier","finished","71","2023-01-21T14:58:58.000Z","whole_signal_features","MLP","0.5681167244911194","62.5810706615448","0.2","[256,512]","0.001","0.01"
"ptbxl__whole_signal_features__MLPClassifier","finished","204","2023-01-21T14:55:31.000Z","whole_signal_features","MLP","0.7236648797988892","195.18418669700625","0.2","[256,512]","0.001","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","64","2023-01-21T14:53:33.000Z","agg_beat_features","MLP","0.6964177489280701","54.59491467475891","0.2","[256,512]","0.1","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","144","2023-01-21T14:51:06.000Z","agg_beat_features","MLP","0.7226194143295288","135.65837788581848","0.2","[256,512]","0.01","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","91","2023-01-21T14:49:32.000Z","agg_beat_features","MLP","0.6991639733314514","82.24600028991699","0.2","[256,512]","0.001","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","70","2023-01-21T14:48:19.000Z","agg_beat_features","MLP","0.7043458819389343","60.62768483161926","0.2","[256,512]","0.0001","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","121","2023-01-21T14:45:33.000Z","agg_beat_features","MLP","0.7258346676826477","111.76288366317748","0.4","[256,512]","0.001","0.001"
