"Name","State","Runtime","Created","representation","model","val/fscore","fit_time","model.max_features","model.min_samples_split","model.min_samples_leaf","model.max_depth"
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","108","2023-01-20T18:51:56.000Z","whole_signal_waveforms","Decision Tree","0.4212509989738464","99.67464065551758","0.7","4","1",""
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","102","2023-01-20T18:50:11.000Z","whole_signal_waveforms","Decision Tree","0.4364861845970154","91.69988369941711","0.7","2","1",""
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","135","2023-01-20T18:42:49.000Z","whole_signal_waveforms","Decision Tree","0.4042070508003235","127.69278502464294","1","2","1",""
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","142","2023-01-20T18:40:24.000Z","whole_signal_waveforms","Decision Tree","0.4261047840118408","127.89870238304138","0.9","2","1",""
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","103","2023-01-20T18:38:39.000Z","whole_signal_waveforms","Decision Tree","0.4364861845970154","91.52247071266174","0.7","2","1",""
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","79","2023-01-20T18:37:17.000Z","whole_signal_waveforms","Decision Tree","0.3976245522499085","69.91461038589478","0.5","2","1",""
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","53","2023-01-20T18:36:21.000Z","whole_signal_waveforms","Decision Tree","0.4058002829551697","40.70346450805664","0.3","2","1",""
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","30","2023-01-20T18:35:47.000Z","whole_signal_waveforms","Decision Tree","0.4199454188346863","13.908804893493652","0.1","2","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","10","2023-01-20T18:33:25.000Z","agg_beat_waveforms","Decision Tree","0.6096326112747192","1.525956153869629","0.1","2","16","16"
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","8","2023-01-20T18:33:14.000Z","agg_beat_waveforms","Decision Tree","0.6129205822944641","1.5224807262420654","0.1","2","8","16"
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","13","2023-01-20T18:32:58.000Z","agg_beat_waveforms","Decision Tree","0.5853641033172607","1.5557677745819092","0.1","2","4","16"
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","7","2023-01-20T18:32:48.000Z","agg_beat_waveforms","Decision Tree","0.6144082546234131","1.5848894119262695","0.1","2","2","16"
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","9","2023-01-20T18:32:36.000Z","agg_beat_waveforms","Decision Tree","0.6295713186264038","1.6670644283294678","0.1","2","1","16"
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","10","2023-01-20T18:31:45.000Z","agg_beat_waveforms","Decision Tree","0.6144586801528931","2.2067008018493652","0.1","2","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","9","2023-01-20T18:31:33.000Z","agg_beat_waveforms","Decision Tree","0.6144586801528931","2.1611485481262207","0.1","2","1","64"
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","9","2023-01-20T18:31:22.000Z","agg_beat_waveforms","Decision Tree","0.6022282838821411","1.9931159019470217","0.1","2","1","32"
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","8","2023-01-20T18:31:12.000Z","agg_beat_waveforms","Decision Tree","0.6295713186264038","1.7126855850219729","0.1","2","1","16"
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","9","2023-01-20T18:31:00.000Z","agg_beat_waveforms","Decision Tree","0.5459336042404175","0.5930979251861572","0.1","2","1","4"
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","30","2023-01-20T18:29:30.000Z","agg_beat_waveforms","Decision Tree","0.5857834219932556","21.155850410461422","0.9","16","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","26","2023-01-20T18:29:01.000Z","agg_beat_waveforms","Decision Tree","0.5985913276672363","20.251044750213623","0.9","8","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","29","2023-01-20T18:28:29.000Z","agg_beat_waveforms","Decision Tree","0.6014037728309631","21.130359888076782","0.9","4","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","27","2023-01-20T18:27:59.000Z","agg_beat_waveforms","Decision Tree","0.6097232103347778","19.472697496414185","0.9","2","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","10","2023-01-20T18:27:16.000Z","agg_beat_waveforms","Decision Tree","0.5684864521026611","2.0891671180725098","0.1","16","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","15","2023-01-20T18:26:59.000Z","agg_beat_waveforms","Decision Tree","0.5800652503967285","2.1204826831817627","0.1","8","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","10","2023-01-20T18:26:46.000Z","agg_beat_waveforms","Decision Tree","0.5870203971862793","2.308774709701538","0.1","4","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","9","2023-01-20T18:26:34.000Z","agg_beat_waveforms","Decision Tree","0.6144586801528931","2.1968932151794434","0.1","2","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","30","2023-01-20T18:25:45.000Z","agg_beat_waveforms","Decision Tree","0.6061359643936157","21.45205283164978","1","2","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","30","2023-01-20T18:25:12.000Z","agg_beat_waveforms","Decision Tree","0.6097232103347778","21.130253314971924","0.9","2","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","22","2023-01-20T18:24:47.000Z","agg_beat_waveforms","Decision Tree","0.5980210304260254","14.770158767700195","0.7","2","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","19","2023-01-20T18:24:25.000Z","agg_beat_waveforms","Decision Tree","0.5943998098373413","10.077300786972046","0.5","2","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","13","2023-01-20T18:24:09.000Z","agg_beat_waveforms","Decision Tree","0.5861279964447021","6.288033485412598","0.3","2","1",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","10","2023-01-20T18:23:56.000Z","agg_beat_waveforms","Decision Tree","0.6144586801528931","2.2247731685638428","0.1","2","1",""
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","23","2023-01-20T18:18:28.000Z","whole_signal_features","Decision Tree","0.5967981815338135","17.850239992141724","0.5","2","16","16"
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","28","2023-01-20T18:17:57.000Z","whole_signal_features","Decision Tree","0.6167330741882324","19.22414612770081","0.5","2","8","16"
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","27","2023-01-20T18:17:28.000Z","whole_signal_features","Decision Tree","0.6257107853889465","19.506500720977783","0.5","2","4","16"
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","26","2023-01-20T18:16:59.000Z","whole_signal_features","Decision Tree","0.6196639537811279","20.252119064331055","0.5","2","2","16"
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","29","2023-01-20T18:16:27.000Z","whole_signal_features","Decision Tree","0.624977171421051","20.02457046508789","0.5","2","1","16"
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","38","2023-01-20T18:14:52.000Z","whole_signal_features","Decision Tree","0.6178449392318726","29.598751306533813","0.5","2","1",""
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","45","2023-01-20T18:14:04.000Z","whole_signal_features","Decision Tree","0.5986772179603577","35.24895906448364","0.5","2","1","64"
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","35","2023-01-20T18:13:26.000Z","whole_signal_features","Decision Tree","0.6062110662460327","27.00144362449646","0.5","2","1","32"
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","25","2023-01-20T18:12:58.000Z","whole_signal_features","Decision Tree","0.624977171421051","19.561458587646484","0.5","2","1","16"
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","15","2023-01-20T18:12:40.000Z","whole_signal_features","Decision Tree","0.608985185623169","6.43687629699707","0.5","2","1","4"
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","38","2023-01-20T18:11:03.000Z","whole_signal_features","Decision Tree","0.5936262011528015","31.761934757232662","0.5","16","1",""
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","40","2023-01-20T18:10:20.000Z","whole_signal_features","Decision Tree","0.6169807314872742","31.685145139694217","0.5","8","1",""
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","45","2023-01-20T18:09:32.000Z","whole_signal_features","Decision Tree","0.5991160273551941","33.781548500061035","0.5","4","1",""
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","38","2023-01-20T18:08:51.000Z","whole_signal_features","Decision Tree","0.6178449392318726","29.81673502922058","0.5","2","1",""
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","75","2023-01-20T17:59:53.000Z","whole_signal_features","Decision Tree","0.6100468635559082","66.65591955184937","1","2","1",""
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","64","2023-01-20T17:58:46.000Z","whole_signal_features","Decision Tree","0.6096560955047607","54.19654822349548","0.9","2","1",""
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","53","2023-01-20T17:57:50.000Z","whole_signal_features","Decision Tree","0.5986124277114868","44.95348024368286","0.7","2","1",""
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","35","2023-01-20T17:57:12.000Z","whole_signal_features","Decision Tree","0.6178449392318726","28.15654754638672","0.5","2","1",""
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","26","2023-01-20T17:56:43.000Z","whole_signal_features","Decision Tree","0.596489667892456","18.922861099243164","0.3","2","1",""
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","26","2023-01-20T17:56:14.000Z","whole_signal_features","Decision Tree","0.5764915347099304","6.140643119812012","0.1","2","1",""
