"Name","State","Runtime","Created","representation","model","val/fscore","fit_time","model.weight_decay","model.learning_rate","model.net.conv0_channels","model.net.conv0_kernel_size","model.net.ff_dropout","model.net.ff_hidden_dims","model.net.layers"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","811","2023-01-22T19:15:37.000Z","whole_signal_waveforms","CNN","0.7467550039291382","781.3846900463104","0.001","0.001","256","9","0.2","[128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","876","2023-01-22T19:00:58.000Z","whole_signal_waveforms","CNN","0.7544407844543457","844.2243893146515","0.001","0.001","256","9","0.2","[64]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","1376","2023-01-22T18:34:19.000Z","whole_signal_waveforms","CNN","0.7473859786987305","1339.9141886234283","0.001","0.001","256","9","0.2","[128,128]","[1,1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","836","2023-01-22T18:20:20.000Z","whole_signal_waveforms","CNN","0.7364977598190308","809.5711514949799","0.001","0.001","256","9","0.2","[128,128]","[1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","578","2023-01-22T18:10:38.000Z","whole_signal_waveforms","CNN","0.7272615432739258","554.6369276046753","0.001","0.001","256","9","0.2","[128,128]","[1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","1573","2023-01-22T17:38:22.000Z","whole_signal_waveforms","CNN","0.7576681971549988","1535.9648282527924","0.001","0.001","256","9","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","675","2023-01-22T17:27:04.000Z","whole_signal_waveforms","CNN","0.7506207227706909","660.6398425102234","0.001","0.001","64","9","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","643","2023-01-22T16:57:47.000Z","whole_signal_waveforms","CNN","0.7515004873275757","624.2646420001984","0.001","0.001","128","9","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","307","2023-01-22T16:52:37.000Z","whole_signal_waveforms","CNN","0.7375038266181946","283.54863119125366","0.001","0.001","128","5","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","710","2023-01-22T16:38:07.000Z","whole_signal_waveforms","CNN","0.7209426164627075","691.2360301017761","0.001","0.01","128","7","0.3","[128,128]","[1,1,1]"
